id,title,genres,overview
42,Strange Days,"Action, Crime, Sci-Fi",A former cop sells recordings of people's memories and gets involved in a conspiracy.
43,The Indian in the Cupboard,"Adventure, Family, Fantasy",A boy discovers his toy comes to life in a magical cupboard.
44,Mr. Holland's Opus,"Drama, Music",A music teacher touches the lives of his students over 30 years.
45,Two if by Sea,"Comedy, Romance",A couple tries to escape with a stolen painting.
46,While You Were Sleeping,"Comedy, Romance",A lonely woman saves a man and is mistaken for his fiancée.
47,The Postman,"Action, Adventure, Drama",A drifter becomes a symbol of hope in a post-apocalyptic world.
48,Nowhere,"Drama, Sci-Fi",A surreal teen film about strange events in Los Angeles.
49,Mortal Kombat,"Action, Adventure, Fantasy",Fighters from Earth battle in a tournament to save the world.
50,The Usual Suspects,"Crime, Drama, Mystery",A conman tells a complex story about a heist and a mysterious criminal.
51,Iron Man,"Action, Adventure, Sci-Fi","After being held captive, billionaire engineer Tony Stark creates a unique weaponized suit of armor to fight evil."
52,The Incredible Hulk,"Action, Sci-Fi",Scientist Bruce Banner must find a cure for the monster he turns into whenever he loses his temper.
53,Iron Man 2,"Action, Adventure, Sci-Fi","Tony Stark grapples with pressure from the government, rivals, and his own declining health."
54,Thor,"Action, Adventure, Fantasy",The powerful but arrogant god Thor is cast out of Asgard and sent to Earth to live among humans.
55,Captain America: The First Avenger,"Action, Adventure, Sci-Fi","Steve Rogers, a rejected military soldier, transforms into Captain America to fight the Nazis."
56,The Avengers,"Action, Adventure, Sci-Fi",Earth’s mightiest heroes must band together to stop Loki and his alien army.
57,Iron Man 3,"Action, Adventure, Sci-Fi","Tony Stark faces a powerful terrorist known as the Mandarin, and questions the role of Iron Man."
58,Thor: The Dark World,"Action, Adventure, Fantasy",Thor must save the universe from the Dark Elves and a mysterious weapon known as the Aether.
59,Captain America: The Winter Soldier,"Action, Adventure, Thriller",Steve Rogers teams up with Black Widow to uncover a deadly conspiracy within S.H.I.E.L.D.
60,Avengers: Age of Ultron,"Action, Adventure, Sci-Fi","The Avengers must stop Ultron, an AI bent on human extinction."
61,Ant-Man,"Action, Comedy, Sci-Fi",A con man is armed with a suit that allows him to shrink and must pull off a heist to save the world.
62,Captain America: Civil War,"Action, Adventure, Sci-Fi",A political disagreement splits the Avengers into opposing factions.
63,Doctor Strange,"Action, Adventure, Fantasy",A neurosurgeon discovers a hidden world of magic and alternate dimensions.
64,Spider-Man: Homecoming,"Action, Adventure, Comedy",Peter Parker tries to balance high school life with being Spider-Man under Tony Stark’s mentorship.
65,Black Panther,"Action, Adventure, Sci-Fi",T’Challa returns to Wakanda to take the throne and defend it from threats.
66,Avengers: Infinity War,"Action, Adventure, Sci-Fi",The Avengers and their allies must stop Thanos from collecting all the Infinity Stones.
67,Ant-Man and the Wasp,"Action, Adventure, Comedy",Scott Lang teams up with the Wasp on a new mission following the events of Civil War.
68,Captain Marvel,"Action, Adventure, Sci-Fi",Carol Danvers becomes one of the universe’s most powerful heroes while searching for her past.
69,Avengers: Endgame,"Action, Adventure, Drama","After the devastating events of Infinity War, the Avengers assemble for a final stand against Thanos."
70,Spider-Man: Far From Home,"Action, Adventure, Sci-Fi","Peter Parker goes on a European vacation, only to be recruited to fight new elemental threats."
